DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,AT,2014,141.27,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,AT,2015,117.62,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,AT,2016,199.26,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,AT,2017,164.14,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,AT,2018,239.47,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,AT,2019,332.82,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,AT,2020,257.95,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,AT,2021,248.61,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,AT,2022,401.29,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,BE,2014,142.74,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,BE,2015,46.83,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,BE,2016,100.92,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,BE,2017,104.92,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,BE,2018,80.68,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,BE,2019,99.71,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,BE,2020,119.25,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,BE,2021,282.57,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,BE,2022,395.52,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,BG,2014,0.07,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,BG,2015,0.10,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,BG,2018,0.00,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,BG,2020,0.14,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,BG,2021,0.03,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,BG,2022,0.00,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,COMM,2014,677.01,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,COMM,2015,1535.42,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,COMM,2016,2730.17,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,COMM,2017,2823.72,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,COMM,2018,2652.49,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,COMM,2019,2534.78,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,COMM,2020,2577.58,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,COMM,2021,2501.76,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,COMM,2022,4030.62,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,CY,2014,0.00,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,CY,2020,0.00,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,CY,2021,0.00,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,CY,2022,0.00,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,CZ,2014,7.66,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,CZ,2015,8.19,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,CZ,2016,7.55,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,CZ,2017,7.07,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,CZ,2018,7.20,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,CZ,2019,7.47,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,CZ,2020,12.23,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,CZ,2021,11.51,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,CZ,2022,8.49,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DE,2014,5130.61,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DE,2015,7406.15,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DE,2016,8534.08,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DE,2017,6729.60,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DE,2018,6611.98,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DE,2019,6811.79,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DE,2020,7698.28,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DE,2021,7844.73,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DE,2022,9476.29,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DK,2014,222.04,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DK,2015,143.79,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DK,2016,172.98,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DK,2017,181.72,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DK,2018,198.16,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DK,2019,246.90,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DK,2020,272.66,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DK,2021,386.14,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,DK,2022,264.54,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EE,2014,0.53,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EE,2015,1.21,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EE,2016,0.38,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EE,2017,0.62,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EE,2018,0.97,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EE,2019,0.53,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EE,2020,1.97,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EE,2021,2.77,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EE,2022,2.79,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EIB,2014,2098.50,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EIB,2015,2214.70,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EIB,2016,1947.72,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EIB,2017,2640.36,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EIB,2018,2972.44,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EIB,2019,3184.30,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EIB,2020,2711.51,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EIB,2021,2563.36,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EIB,2022,2523.44,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EL,2014,0.04,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EL,2015,0.23,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EL,2016,0.23,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EL,2017,4.59,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EL,2018,3.77,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EL,2019,0.69,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EL,2020,1.11,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EL,2021,8.28,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EL,2022,1.98,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,ES,2014,498.75,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,ES,2015,466.72,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,ES,2016,595.03,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,ES,2017,529.06,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,ES,2018,694.94,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,ES,2019,740.14,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,ES,2020,529.78,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,ES,2021,726.72,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,ES,2022,743.47,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EU27_2020,2014,10163.87,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EU27_2020,2015,12333.74,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EU27_2020,2016,14337.95,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EU27_2020,2017,13906.81,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EU27_2020,2018,14792.83,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EU27_2020,2019,16205.77,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EU27_2020,2020,18103.89,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EU27_2020,2021,17977.97,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EU27_2020,2022,21920.86,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EU28,2014,11715.30,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EU28,2015,13813.88,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EU28,2016,15501.53,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EU28,2017,14924.63,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EU28,2018,16113.18,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,EU28,2019,17511.17,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,FI,2014,132.25,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,FI,2015,115.43,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,FI,2016,43.04,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,FI,2017,119.38,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,FI,2018,46.59,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,FI,2019,146.76,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,FI,2020,125.46,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,FI,2021,146.51,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,FI,2022,161.52,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,FR,2014,2921.43,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,FR,2015,2792.83,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,FR,2016,3334.84,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,FR,2017,4377.38,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,FR,2018,5088.76,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,FR,2019,5958.78,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,FR,2020,6715.53,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,FR,2021,5781.84,
